cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_pdf_parse,has_pmc_xml_parse,full_text_file,url
zdr0f2uq,313d6762ff0c7e18ed7af39482b04fbd2d280bc7; aac7a557d56de4ec3180fec38514eec284d03e0e,PMC,Exploitation of glycosylation in enveloped virus pathobiology,10.1016/j.bbagen.2019.05.012,PMC6686077,31121217.0,cc-by,"Glycosylation is a ubiquitous post-translational modification responsible for a multitude of crucial biological roles. As obligate parasites, viruses exploit host-cell machinery to glycosylate their own proteins during replication. Viral envelope proteins from a variety of human pathogens including HIV-1, influenza virus, Lassa virus, SARS, Zika virus, dengue virus, and Ebola virus have evolved to be extensively glycosylated. These host-cell derived glycans facilitate diverse structural and functional roles during the viral life-cycle, ranging from immune evasion by glycan shielding to enhancement of immune cell infection. In this review, we highlight the imperative and auxiliary roles glycans play, and how specific oligosaccharide structures facilitate these functions during viral pathogenesis. We discuss the growing efforts to exploit viral glycobiology in the development of anti-viral vaccines and therapies.",2019-10-03,"Watanabe, Yasunori; Bowden, Thomas A.; Wilson, Ian A.; Crispin, Max",Biochim Biophys Acta Gen Subj,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6686077/
of9t5i10,406aad9b3f74f619a1aac3f29ad531b28fb7c37e,PMC,Use of Toll-Like Receptor 3 Agonists Against Respiratory Viral Infections,10.2174/187152111800194434,PMC3552307,,cc-by,"Respiratory RNA viruses are constantly evolving, thus requiring development of additional prophylactic and therapeutic strategies. Harnessing the innate immune system to non-specifically respond to viral infection has the advantage of being able to circumvent viral mutations that render the virus resistant to a particular therapeutic agent. Viruses are recognized by various cellular receptors, including Toll-like receptor (TLR) 3 which recognizes double-stranded (ds)RNA produced during the viral replication cycle. TLR3 agonists include synthetic dsRNA such as poly (IC), poly (ICLC) and poly (AU). These agents have been evaluated and found to be effective against a number of viral agents. One major limitation has been the toxicity associated with administration of these drugs. Significant time and effort have been spent to develop alternatives/modifications that will minimize these adverse effects. This review will focus on the TLR3 agonist, poly (IC)/(ICLC) with respect to its use in treatment/prevention of respiratory viral infections.",2011-10-03,"Christopher, ME; Wong, JP",Antiinflamm Antiallergy Agents Med Chem,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3552307/
yy77veid,1cdf5f7fb665c7d9efaf8562af501d3b3bdd9273; f04518627b8397d11241046b09b3925ce3cd31ac,PMC,Engineered amphiphilic peptides enable delivery of proteins and CRISPR-associated nucleases to airway epithelia,10.1038/s41467-019-12922-y,PMC6817825,31659165.0,cc-by,"The delivery of biologic cargoes to airway epithelial cells is challenging due to the formidable barriers imposed by its specialized and differentiated cells. Among cargoes, recombinant proteins offer therapeutic promise but the lack of effective delivery methods limits their development. Here, we achieve protein and SpCas9 or AsCas12a ribonucleoprotein (RNP) delivery to cultured human well-differentiated airway epithelial cells and mouse lungs with engineered amphiphilic peptides. These shuttle peptides, non-covalently combined with GFP protein or CRISPR-associated nuclease (Cas) RNP, allow rapid entry into cultured human ciliated and non-ciliated epithelial cells and mouse airway epithelia. Instillation of shuttle peptides combined with SpCas9 or AsCas12a RNP achieves editing of loxP sites in airway epithelia of ROSA(mT/mG) mice. We observe no evidence of short-term toxicity with a widespread distribution restricted to the respiratory tract. This peptide-based technology advances potential therapeutic avenues for protein and Cas RNP delivery to refractory airway epithelial cells.",2019-10-28,"Krishnamurthy, Sateesh; Wohlford-Lenane, Christine; Kandimalla, Suhas; Sartre, Gilles; Meyerholz, David K.; Théberge, Vanessa; Hallée, Stéphanie; Duperré, Anne-Marie; Del’Guidice, Thomas; Lepetit-Stoffaes, Jean-Pascal; Barbeau, Xavier; Guay, David; McCray, Paul B.",Nat Commun,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6817825/
2p7qrgx0,54774da1d5cb436f9bac63726a08b399b05c6992,PMC,"Metagenomic Analysis of Fever, Thrombocytopenia and Leukopenia Syndrome (FTLS) in Henan Province, China: Discovery of a New Bunyavirus",10.1371/journal.ppat.1002369,PMC3219706,22114553.0,cc-by,"Since 2007, many cases of fever, thrombocytopenia and leukopenia syndrome (FTLS) have emerged in Henan Province, China. Patient reports of tick bites suggested that infection could contribute to FTLS. Many tick-transmitted microbial pathogens were tested for by PCR/RT-PCR and/or indirect immunofluorescence assay (IFA). However, only 8% (24/285) of samples collected from 2007 to 2010 tested positive for human granulocytic anaplasmosis (HGA), suggesting that other pathogens could be involved. Here, we used an unbiased metagenomic approach to screen and survey for microbes possibly associated with FTLS. BLASTx analysis of deduced protein sequences revealed that a novel bunyavirus (36% identity to Tehran virus, accession: HQ412604) was present only in sera from FTLS patients. A phylogenetic analysis further showed that, although closely related to Uukuniemi virus of the Phlebovirus genus, this virus was distinct. The candidate virus was examined for association with FTLS among samples collected from Henan province during 2007–2010. RT-PCR, viral cultures, and a seroepidemiologic survey were undertaken. RT-PCR results showed that 223 of 285 (78.24%) acute-phase serum samples contained viral RNA. Of 95 patients for whom paired acute and convalescent sera were available, 73 had serologic evidence of infection, with 52 seroconversions and 21 exhibiting a 4-fold increase in antibody titer to the virus. The new virus was isolated from patient acute-phase serum samples and named Henan Fever Virus (HNF virus). Whole-genome sequencing confirmed that the virus was a novel bunyavirus with genetic similarity to known bunyaviruses, and was most closely related to the Uukuniemi virus (34%, 24%, and 29% of maximum identity, respectively, for segment L, M, S at maximum query coverage). After the release of the GenBank sequences of SFTSV, we found that they were nearly identical (>99% identity). These results show that the novel bunyavirus (HNF virus) is strongly correlated with FTLS.",2011-11-17,"Xu, Bianli; Liu, Licheng; Huang, Xueyong; Ma, Hong; Zhang, Yuan; Du, Yanhua; Wang, Pengzhi; Tang, Xiaoyan; Wang, Haifeng; Kang, Kai; Zhang, Shiqiang; Zhao, Guohua; Wu, Weili; Yang, Yinhui; Chen, Haomin; Mu, Feng; Chen, Weijun",PLoS Pathog,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3219706/
nx2wrguu,b8423ebcd07e62c48ca7205a06fee753f9199e58,PMC,"Assessing dengue control in Tokyo, 2014",10.1371/journal.pntd.0007468,PMC6588210,31226116.0,cc-by,"BACKGROUND: In summer 2014, an autochthonous outbreak of dengue occurred in Tokyo, Japan, in which Yoyogi Park acted as the focal area of transmission. Recognizing the outbreak, concerted efforts were made to control viral spread, which included mosquito control, public announcement of the outbreak, and a total ban on entering the park. We sought to assess the effectiveness of these control measures. METHODOLOGY/PRINCIPAL FINDINGS: We used a mathematical model to describe the transmission dynamics. Using dates of exposure and illness onset, we categorized cases into three groups according to the availability of these datasets. The infection process was parametrically modeled by generation, and convolution of the infection process and the incubation period was fitted to the data. By estimating the effective reproduction number, we determined that the effect of dengue risk communication together with mosquito control from 28 August 2014 was insufficiently large to lower the reproduction number to below 1. However, once Yoyogi Park was closed on 4 September, the value of the effective reproduction number began to fall below 1, and the associated relative reduction in the effective reproduction number was estimated to be 20%–60%. The mean incubation period was an estimated 5.8 days. CONCLUSIONS/SIGNIFICANCE: Regardless of the assumed number of generations of cases, the combined effect of mosquito control, risk communication, and park closure appeared to be successful in interrupting the chain of dengue transmission in Tokyo.",2019-06-21,"Yuan, Baoyin; Lee, Hyojung; Nishiura, Hiroshi",PLoS Negl Trop Dis,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6588210/
39rbo0f9,a03298211c385b7bd1d1ebdc98b1cc69efe7f54d,PMC,"Systematic Identification of Novel, Essential Host Genes Affecting Bromovirus RNA Replication",10.1371/journal.pone.0023988,PMC3161824,21915247.0,cc-by,"Positive-strand RNA virus replication involves viral proteins and cellular proteins at nearly every replication step. Brome mosaic virus (BMV) is a well-established model for dissecting virus-host interactions and is one of very few viruses whose RNA replication, gene expression and encapsidation have been reproduced in the yeast Saccharomyces cerevisiae. Previously, our laboratory identified ∼100 non-essential host genes whose loss inhibited or enhanced BMV replication at least 3-fold. However, our isolation of additional BMV-modulating host genes by classical genetics and other results underscore that genes essential for cell growth also contribute to BMV RNA replication at a frequency that may be greater than that of non-essential genes. To systematically identify novel, essential host genes affecting BMV RNA replication, we tested a collection of ∼900 yeast strains, each with a single essential gene promoter replaced by a doxycycline-repressible promoter, allowing repression of gene expression by adding doxycycline to the growth medium. Using this strain array of ∼81% of essential yeast genes, we identified 24 essential host genes whose depleted expression reproducibly inhibited or enhanced BMV RNA replication. Relevant host genes are involved in ribosome biosynthesis, cell cycle regulation and protein homeostasis, among other cellular processes. BMV 2a(Pol) levels were significantly increased in strains depleted for a heat shock protein (HSF1) or proteasome components (PRE1 and RPT6), suggesting these genes may affect BMV RNA replication by directly or indirectly modulating 2a(Pol) localization, post-translational modification or interacting partners. Investigating the diverse functions of these newly identified essential host genes should advance our understanding of BMV-host interactions and normal cellular pathways, and suggest new modes of virus control.",2011-08-22,"Gancarz, Brandi L.; Hao, Linhui; He, Qiuling; Newton, Michael A.; Ahlquist, Paul",PLoS One,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3161824/
xteeybsj,fd31ade73c720f893a5ddb2370df90a84511ec4a,PMC,"Distribution of antibodies against influenza virus in pigs from farrow-to-finish farms in Minas Gerais state, Brazil",10.1111/irv.12304,PMC4415701,25648743.0,cc-by,"BACKGROUND: Swine influenza virus (SIV) is the cause of an acute respiratory disease that affects swine worldwide. In Brazil, SIV has been identified in pigs since 1978. After the emergence of pandemic H1N1 in 2009 (H1N1pdm09), few studies reported the presence of influenza virus in Brazilian herds. OBJECTIVES: The objective of this study was to evaluate the serological profile for influenza virus in farrow-to-finish pig farms in Minas Gerais state, Brazil. METHODS: Thirty farms with no SIV vaccination history were selected from the four larger pig production areas in Minas Gerais state (Zona da Mata, Triângulo Mineiro/Alto Paranaíba, South/Southwest and the Belo Horizonte metropolitan area). At each farm, blood samples were randomly collected from 20 animals in each production cycle category: breeding animals (sows and gilts), farrowing crate (2–3 weeks), nursery (4–7 weeks), grower pigs (8–14 weeks), and finishing pigs (15–16 weeks), with 100 samples per farm and a total of 3000 animals in this study. The samples were tested for hemagglutination inhibition activity against H1N1 pandemic strain (A/swine/Brazil/11/2009) and H3N2 SIV (A/swine/Iowa/8548-2/98) reference strain. RESULTS: The percentages of seropositive animals for H1N1pdm09 and H3N2 were 26·23% and 1·57%, respectively, and the percentages of seropositive herds for both viruses were 96·6% and 13·2%, respectively. CONCLUSIONS: The serological profiles differed for both viruses and among the studied areas, suggesting a high variety of virus circulation around the state, as well as the presence of seronegative animals susceptible to influenza infection and, consequently, new respiratory disease outbreaks.",2015-04-23,"Dias, Alessandra S; Costa, Érica A; Rajão, Daniela S; Guedes, Roberto M C; Ciacci Zanella, Janice R; Lobato, Zélia I P",Influenza Other Respir Viruses,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415701/
aqc9zrrm,1951545d70e8568083cde219d2583c1aae0c4061,PMC,"Factors responsible for the emergence of arboviruses; strategies, challenges and limitations for their control",10.1038/emi.2015.18,PMC4395659,26038768.0,cc-by,"Slave trading of Africans to the Americas, during the 16th to the 19th century was responsible for the first recorded emergence in the New World of two arthropod-borne viruses (arboviruses), yellow fever virus and dengue virus. Many other arboviruses have since emerged from their sylvatic reservoirs and dispersed globally due to evolving factors that include anthropological behaviour, commercial transportation and land-remediation. Here, we outline some characteristics of these highly divergent arboviruses, including the variety of life cycles they have developed and the mechanisms by which they have adapted to evolving changes in habitat and host availability. We cite recent examples of virus emergence that exemplify how arboviruses have exploited the consequences of the modern human lifestyle. Using our current understanding of these viruses, we also attempt to demonstrate some of the limitations encountered in developing control strategies to reduce the impact of future emerging arbovirus diseases. Finally, we present recommendations for development by an international panel of experts reporting directly to World Health Organization, with the intention of providing internationally acceptable guidelines for improving emerging arbovirus disease control strategies. Success in these aims should alleviate the suffering and costs encountered during recent decades when arboviruses have emerged from their sylvatic environment.",2015-03-25,"Liang, Guodong; Gao, Xiaoyan; Gould, Ernest A",Emerg Microbes Infect,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4395659/
s471nmfj,88c599b1de8a17cd519f9f72aaaea28392f697f0,PMC,The Capsid Protein VP1 of Coxsackievirus B Induces Cell Cycle Arrest by Up-Regulating Heat Shock Protein 70,10.3389/fmicb.2019.01633,PMC6653663,31379784.0,cc-by,"Manipulating cell cycle is one of the common strategies used by viruses to generate favorable cellular environment to facilitate viral replication. Coxsackievirus B (CVB) is one of the major viral pathogens of human myocarditis and cardiomyopathy. Because of its small genome, CVB depends on cellular machineries for productive replication. However, how the structural and non-structural components of CVB would manipulate cell cycle is not clearly understood. In this study, we demonstrated that the capsid protein VP1 of CVB type 3 (CVB3) induced cell cycle arrest at G1 phase. G1 arrest was the result of the decrease level of cyclin E and the accumulation of p27(Kip1). Study on the gene expression profile of the cells expressing VP1 showed that the expression of both heat shock protein 70-1 (Hsp70-1) and Hsp70-2 was significantly up-regulated. Knockdown of Hsp70 resulted in the increased level of cyclin E and the reduction of p27(Kip1). We further demonstrated that the phosphorylation of the heat shock factor 1, which directly promotes the expression of Hsp70, was also increased in the cell expressing VP1. Moreover, we show that CVB3 infection also induced G1 arrest, likely due to dysregulating Hsp70, cyclin E, and p27, while knockdown of Hsp70 dramatically inhibited viral replication. Cell cycle arrest at G1 phase facilitated CVB3 infection, since viral replication in the cells synchronized at G1 phase dramatically increased. Taken together, this study demonstrates that the VP1 of CVB3 induces cell cycle arrest at G1 phase through up-regulating Hsp70. Our findings suggest that the capsid protein VP1 of CVB is capable of manipulating cellular activities during viral infection.",2019-07-17,"Wang, Yao; Zhao, Shuoxuan; Chen, Yang; Wang, Tianying; Dong, Chaorun; Wo, Xiaoman; Zhang, Jian; Dong, Yanyan; Xu, Weizhen; Feng, Xiaofeng; Qu, Cong; Wang, Yan; Zhong, Zhaohua; Zhao, Wenran",Front Microbiol,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6653663/
0brhn8oc,914c8d326beaccabd37199a9903b27fa7f9b0586,PMC,Pseudoknots: RNA Structures with Diverse Functions,10.1371/journal.pbio.0030213,PMC1149493,15941360.0,cc-by,"Just as proteins form distinct structural motifs, certain structures are commonly adopted by RNA molecules. Amongst the most prevalent is the RNA pseudoknot.",2005-06-14,"Staple, David W; Butcher, Samuel E",PLoS Biol,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1149493/
